shaqsha,danzante típico
quy,dar
wachay,dar a luz
wachay,parir
taqllapay,dar palmadas
hapay,dar pasos
kutay,dar puñetazos
niy,decir
rukana,dedo
ismay,defecar
pishtay,degollar
kupsay,dejar boca abajo las cosas
llanu,delgado
llanu,angosto
ruri,dentro
allawka,derecha
ramay,derramar
hichay,derramar
hichay,echar
tsulluy,derretir
huchuy,derrumbar
paskay,desatar
yawapay,desayunar
hamay,descansar
hutinyaatsiy,descripción
iskuy,desgranar maíz
quray,deshierbar
qalapaachu,desnudo
hayaq,desocupado
aywakuy,despedida
pukutay,despedir olor agradable
qipa,detrás
qipa,parte posterior
hunaq,día
rimanakuy,dialogar
isqicha,diarrea
siqiy,dibujar
kiru,diente
chunka,diez
qillay,dinero
qillay,plata
apu,dios tutelar
umalliq,dirigente
nanay,dolor
punuy,dormir
ichik ullqu,duende
mishki,dulce
anaq,duro
chichu,embarazada
chichu,preñada
machay,emborracharse
kumay,empujar
aptay,empuñar
ichik warmi,enana
kallki,encañada
piñay,encolerizarse
piñay,molestarse
chikuy,encorralar animales
rumiyashqa,endurecido
rumiyashqa,petrificado
lawatiwa,enema
chikina,enemigo
qishya,enfermedad
wanti,enfermedad venérea
pantatsiy,engañar
pantatsiy,confundir
pantatsiy,hacer equivocar
pampay,enterrar
yaykuy,entrar
chikikuy,envidia
chikikuy,mezquindad
qipiy,envolver
wankuy,envolver
patsa,época
patsa,tiempo
pantay,equivocación
pantay,error
kakyay,eructar
llillishqa,escaldado
tsinkay,escapar
tsinkay,perderse
ismay qaltiq,escarabajo
ashpiy,escarbar
ashpiy,arañar
tsururu,escarcha
hichiy,escarmenar
pitsana,escoba
akray,escoger
akray,seleccionar
akllakuna,escogidas del sol
ratakuy,esconderse
shama,escorbuto
llupapay,escozor
qillqay,escribir
qirara,escudo
yachay wayi,escuela
kallpatsay,esforzarse
waqta,espalda
waallu,espantapájaros
maqtsiy,esparcir la semilla
shuyapaakuy,esperanza
shuyay,esperar
kasha,espina
quwa,esposo
quwa,marido
rutuy,esquilar
kita,estanque
mullka,estiércol de ovinos y auquénidos
wanu,estiércol
wanu,abono
pacha,estómago
haqchiwsay,estornudar
quyllur,estrella
kichkipakuy,estreñirse
kichkipakuy,atorarse
kichkipakuy,atracarse
yarayma,estrofa
qaptsiy,exprimir
mismiy,extenderse el fuego
ankuy,extrañar
aranway,fábula
wachuku,faja
wachuku,cinturón
shullu,feto
mirkapa,fiambre
raymi,fiesta
sinrichakuy,fila
pariwana,flamenco
pinkullu,flauta
wachi,flecha
wayta,flor
tullpa,fogón
rumiyashqa,fósil
urku,frente
purutu,frijol
alay,frío
rampuqchu,frutecencia de la papa
ruru,fruto
willchi,fruto tierno de cereales
nina,fuego
chachaq,fuertemente
kallpa,fuerza
qushnitsiy,fumigar
paqaritsiy,fundar
paqaritsiy,crear
wallpa,gallina
wiskur,gallinazo
kakash,gallo
atipay,ganar
atipay,vencer
wachwa,ganso andino
amuku,garrapata
chirapa,garúa
wapull,gaseoso
laatay,gatear
mishi,gato
ushqu mishi,gato montés
qiwlla,gaviota
nuna,gente
nuna,persona
hiqamuy,germinar
muyuy,girar
tumay,girar
tumay,dar vueltas
siki,glúteo
wayanita,golondrina
takay,golpear
pichisanka,gorrión
chuullu,gorro
shutuy,gotear
ñiqi,grado
aqnu,gramo
purush,granadilla
hatun,grande
hatun,alto
runtu,granizo
wira,grasa
chukllush,grillo
qapariy,gritar
tita,grueso
qutu,grupo de cosas
quri,grupo de personas o animales
wanaku,guanaco
shawintu,guayaba
pushay,guiar
pushay,conducir
kuru,gusano
shinti,habas sancochadas
rimay,hablar
shumaqtsay,hacer bonito
shumaqtsay,hermosear
tsullutsiy,hacer derretir
ahayaatsiy,hacer que otro se enoje
ahayaatsiy,molestar
hamutsiy,hacerse adivinanzas
hunaqay,hacerse tarde
hunaqay,demorar
haacha,hacha
waman,halcón
mallaqay,hambre
kukupa,harina
machka,harina de cebada y trigo tostados
chuchuqa,harina de maíz medio seco y cocido
ismay,heces
qaha,helada
qiri,herida
qiri,úlcera
qiri,llaga
nana,hermana de la mujer
pani,hermana del varón
wawqi,hermano de hermano
turi,hermano de la mujer
puway,hervir
rahu,hielo
qura,hierba
shillku,hierba llamada amor seco
ñatin,hígado
warmi tsuri,hija del padre
tsuri,hijo
wawa,hijo de la madre
shullka,hijo menor
putskay,hilar lana
hakay,hincharse
hiktsuy,hipar
wanka,hito
aksay,hombre malo
waraka,honda
pukru,hondonada
tukllu,hongo
anwaqshuy,hormiga
hurkita,horqueta
kanan,hoy
kanan,ahora
uusi,hoz
chinchu,huacatay silvestre
yupi,huella
yupi,rastro
waktsa,huérfano
tullu,hueso
ruru,huevo
qusñiy,humear
umiita,humita
shukukuy,huracán
shukukuy,remolino
pirwa,huso
kikintsay,identificar
qichwa,idioma quechua
yarpaakuy,imaginarse
tikpi,imperdible
inka,inca
inka,dirigente del imperio incaico
llilli,ingle
qamla,insípido
kallwa,instrumento para tejer
ashay,insultar
umayuq,inteligencia
trukay,intercambiar
trukay,trocar
chawaatsiy,interrumpir una acción
aywa,ir
mashwa,isaño
itsuq,izquierda
wayta chakra,jardín
tsiqtsi,jaspeado
chinchis,jilguero
shura,jora
quru,joroba
wayna,joven varón
pukllay,jugar
chunkay,jugar a las bolas o pelota
quriy,juntar
quriy,agrupar
chuqpay,"Juntar, doblar en forma ordenada, superponer objetos"
wirpa,labios
llaqllay,labrar madera
kinray,ladera
suwaq,ladrón
arash,lagartija
qucha,lago
qucha,laguna
wiqi,lágrima
laqway,lamer
chiwchi,lamparín
millwa,lana
qillqana,lápiz
tunquri,laringe
paqay,lavar
awikuy,lavarse
awikuy,enjuagar
lichi,leche
pakapaka,lechuza
nawintsay,leer
karu,lejos
qallu,lengua
yamta,leña
alsakuy,levantamiento
alsakuy,rebelión
aqtsa suwa,libélula
munashqaykita ruray,libertad
qishpitsiq,libertador
liwru,libro
iski,liendre
qurpa,límite
qurpa,lindero
tsuya,limpio
panaka,linaje
panaka,casta
llushuq,liso
winku,litro
ankash,liviano
llakun,llacón
llakun,especie de papa
llama,llama
qayakuy,llamar
pampa,llanura
chay,llegar
wantuy,llevar algo entre dos o más personas
waqay,llorar
tamya,lluvia
wiiqu,lombriz
luuru,loro
waraq,lucero
waraq,quyllur
nina kuru,luciérnaga
lukma,lúcuma
chuchin,lugar seco no cultivado
killa,luna
aña,lunar
ulluy,luxación
atski,luz
atski,luminosidad
atski,claridad
chinkus,madeja
mama,madre
puquy,madurar
chuchwa,maguey
qaara,maguey
hara,maíz
chili hara,maíz pequeño
kamtsa,maíz tostado
muti,maíz
muti,trigo cocidos
naya,mal agüero
tsuktsu,malaria
kuma,malestar psicosomático
pukyu,manantial
yana pukutay,mangada
miya,maní
pankay,maniatar
maki,mano
aqshu,manta
haku,manta para cargar
lliklla,manta
lliklla,prenda femenina
waray,mañana
waray,día siguiente
muyunay,mareo
pillpis,mariposa
tapash,mariposa nocturna
paska,mármol suave
kachuy,masticar
kasamintu,matrimonio
api,mazamorra
tuqshu,médula
yuyay,memoria
kacha,mensajero
kacha,hacedor de mandados
qishyay,menstruar
llullay,mentir
llullay,engañar
uli,mentira
qatu,mercado
qatu,plaza
killa,mes
miisa,mesa
tatki,metro
takushqa,mezcla
takuy,mezclar
wamiy,Mezclar agua con harina evitando que se hagan grumos
micha,mezquino
mishki,miel de abeja
waranqa,millar
miina,mina
ñukiy,mirar arriba
qaway,mirar
qaway,observar
pisqa,moco
nuyuy,mojar
tunay,moledor
aqay,moler
mulinu,molino de piedra
chuquy,montón
chuquy,pila
muntura,montura
kaniy,morder
wanuy,morir
chuspi,mosca
qinrash,moscardón
rikaatsiy,mostrar
rikaatsiy,demostrar
uqshishqa,mote mal pelado
upa,mudo
upa,tonto
upa,sordo
aya,muerto
aya,cadáver
paalla,mujer danzante
shipash,mujer joven
warmi,mujer
warmi,esposa
miratsiy,multiplicar
tsiqtsi,murciélago
mullu,muru
yuriy,nacer
tuyuy,nadar
tuyuy,flotar
sinqa,nariz
yana,negro
rashtay,nevar
qishu,nido
willka,nieto
ñushpi,niño de hasta tres años
ama,no (prohibitivo)
qapaq,noble
qapaq,distinguido
ampi,noche
ampi,oscuridad
waataq,nodriza
pukutay,nube
matanka,nuca
kipu,nudo
llumtsiy,nuera
wiyaakuy,obedecer
wiyaakuy,hacer caso
kaasukuy,obediencia
uqa,oca
qila,ocioso
qila,flojo
chikiy,odiar
chikinakuy,odiarse
wiyay,oír
nawi,ojos
